"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","Ш-Н УОШИГОУ 360МЛ ХЕРБАЛ","007022","82","3.76","2.69"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","КРЪСТЕВ МАКАРОНИ ПРАВИ 400Г *25","007033","36","0.63","0.51"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","Ш-Н САЯЗ 440МЛ ФУЛ ХЕЪР","007075","82","6.70","3.29"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","Ч/З КОЛГЕЙТ МЕДИУМ 360 1+1","007100","80","4.42","2.99"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ЖИТНИЦА ХАМБУРГСКИ САЛАМ","007262","27","5.36","4.79"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","П/З КОЛГЕЙТ МАКС УАЙТ ONE  75МЛ","007297","81","3.78","2.19"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО ВИЛА ЯМБОЛ МУСКАТ 0.75","007383","75","4.44","3.83"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","КРАСТАВИЦА ГОЛА","007609","58","3.72",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО ШАТО 0.75Л КАРНОБАТ МУСКАТ","007612","75","4.09",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО ШАТО 0.75Л КАРНОБАТ ШАРДОНЕ","007613","75","4.09",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","П/З БИЛКА ДЕНТ 75МЛ ГИНГИВАЛ","007943","81","2.61",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ХЛЯБ ВИТА ТОСТЕР РЪЖЕН ПЪЛНОЗЪРНЕСТ 550Г","007950","3","1.11",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","БРАШНО ЕКСТРА СОФИЯ МЕЛ 1КГ *10","008040","41","1.17",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","КАРТОФ","008144","61","0.55",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ЯБЪЛКА ШАРЕНА","008145","53","1.12",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ХЛЯБ СЛАВЯНКА СТ.ЗАГОРА 650Г","008155","1","0.89",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ХЛЯБ СЛАВЯНКА ДОБРУДЖА 650Г","008156","2","0.89",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ХЛЯБ СЛАВЯНКА ТИПОВ 500Г","008157","4","0.84",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","КРОАСАН БЕЛИНО КАКАОВ КРЕМ","008330","67","0.61","0.50"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","П/З АКВАФРЕШ 50МЛ ДЕТСКА 6+","008472","81","3.76","2.86"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","Ш-Н УОШИГОУ 360МЛ ЛАВАНДУЛА","008586","82","3.76","2.69"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО ПОМОРИЕ МУСКАТ РАКОВИНА 0.75","008608","75","4.59",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО ПОМОРИЕ ШАРДОНЕ РАКОВИНА 0.75","008612","75","4.59",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО ПОМОРИЕ КАБЕРНЕ РАКОВИНА 0.75","008614","76","4.59",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО ПОМОРИЕ РАКОВИНА МЕРЛО РАКОВИНА 0.75","008615","76","4.59",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО МЕНАДА ТРАМИНЕР 0.75","008639","75","4.55","3.85"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ХЛЯБ СТРАЖИЦА РЪЖЕНО-ПШЕНИЧЕН 500Г","008659","3","0.78",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","КРЪСТЕВ ЛЕЩА 1КГ","008724","34","2.73",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","Ш-Н ГЛИС КЮР 250МЛ ПОДХРАНВАЩИ МАСЛА","008970","82","4.44","3.12"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","Ш-Н ХИШ 330МЛ МЪЖКИ","009048","82","6.52","4.44"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","П/З КОЛГЕЙТ ДЕТСКА СМАЙЛ 6-9Г 50МЛ","009125","81","2.70",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","СИРЕНЕ КРАВЕ МАНОЯ","009629","8","6.77",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","П/З КОЛГЕЙТ ТРИПЪЛ ЕКШЪН 125 МЛ.","009644","81","2.30","1.63"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","Ш-Н ПАЛМОЛИВ 350МЛ МАСЛИНА +","009712","82","2.63","1.53"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","П/З АСТЕРА ПАРАДОНТ АКТИВ 75МЛ","009894","81","3.57","2.04"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","Ш-Н УОШИГОУ 360МЛ КОПРИВА","009949","82","3.76","2.69"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ХЛЯБ РЕСЕН ТИПОВ 550Г","009956","4","0.96",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","БЕЛЛА ГОТОВИ БАНИЧКИ ОТ ТОЧЕНИ КОРИ СЪС СИРЕНЕ 8Х60Г","010067","68","2.10",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","БИРА БОЛЯРКА СВЕТЛО 2Л","010154","74","1.42","1.17"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","MERILYN PLUS PINK","010190","78","3.22",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","MERILYN PLUS BLUE","010191","78","3.22",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","МОРТАДЕЛА С ЧУШКА И КИС КРАСТАВИЧКИ","010342","27","6.13",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО ПИКСЕЛ 0.75 СОВИНЬОН БЛАН","010434","75","7.69",""
