"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Спирт Етилов 70% 100мл., Chemax","21632","92","0.71","0.71"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Спирт Етилов 90% 100мл., Chemax","21633","92","0.76","0.76"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Спирт Етилов 95% 100мл., Chemax","21634","92","0.76","0.76"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ПАМПЕРС | PAMPERS МОКРИ КЪРПИ СЕНЗИТИВ Х 52","21643","84","2.04","1.53"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Спирт Етилов 70% 0.800г./1л., Chemax","21672","92","4.39","4.39"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Чай Лека нощ, филтър х 20 броя, Bioprogramme","21779","72","0.71","0.71"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Чай за Диабетици с Канела, филтър х 20 броя, Bioprogramme","22461","72","0.92","0.92"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ПСИЛО-БАЛСАМ ГЕЛ 1% 20Г СТАДА **","22542","91","6.64","6.64"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Aquafresh Fresh & Minty Паста за зъби 125мл.","22784","81","2.7","2.03"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","АЦЦ САШЕ 600МГ Х 10 САНДОЗ **","22958","99","9.2","9.2"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Biotrade Acne Out Сапун за мазна и склонна към акне кожа 100г.","37436","83","5.87","5.87"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Gum TRAVELBRUSH СГЪВАЕМА четка за зъби","37977","80","3.79","3.79"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Диалгин 500мг., сашета х 20, Chemax","38805","96","7.66","7.66"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","НУРОФЕН СТОПКОЛД ТБ Х 12","23011","94","4.7","4.7"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ДИЙП РИЛИЙФ ГЕЛ 50ГР","23013","94","5.57","5.57"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","КСИЗАЛ ТБ 5МГ Х 20","23112","100","11.81","11.81"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","МУКОНАЗАЛ 10МЛ СПРЕЙ **","23475","97","6.9","6.21"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","СТРЕПСИЛС ИНТЕНЗИВ ТБ Х 16","23645","98","5.77","5.77"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ТРОМБО ASS ТБ 100МГ X 30","23831","96","1.48","1.48"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Aquafresh Fresh & Minty Паста за зъби синя 75/100мл.","23839","81","2.14","1.71"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ФРИЗО | FRISO 3 400Г НАД 1ГОД","25071","65","8.48","8.48"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Sebamed Миещо блокче за нормална и чувствителна кожа 100г.","25281","83","5.01","5.01"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Кетозал Шампоан 60мл., Chemax","25659","90","7.51","7.51"
