"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",БИРА БАЛКАНСКО 2.5Л СВЕТЛО /3232/","015089","74","1.53",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",,БИРА КАМЕНИЦА 2.2Л СВЕТЛО /5827/","015185","74","1.78","1.48"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",,БИРА ЗАГОРКА 2Л /6230/","015195","74","1.95","1.48"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",,БИРА ШУМЕНСКО 2.2Л ОРИГИНАЛ/6439/","015248","74","1.78","1.63"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",,БИРА ПИРИНСКО 2.3Л /5911/","015249","74","1.78","1.58"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ВИНО БЯЛО 750МЛ МАГАРЕШКО МЛЯКО /350/","016006","75","1.99",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ШАРДОНЕ 750МЛ ТЪРГОВИЩЕ /302/","016012","75","4.34",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МУСКАТ 750МЛ ТЪРГОВИЩЕ /353/","016013","75","4.34",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МАВРУД 750МЛ АСЕНОВГРАД РЕЗЕРВА /810/","016019","76","5.36",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МЕРЛО 750МЛ СОФИЯ КАРНОБАТ /1603/","016062","76","2.55","2.35"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КАБЕРНЕ 750МЛ СОФИЯ КАРНОБАТ /1601/","016063","76","2.55","2.35"
